ID,기능(대),기능(중),대상 사용자,원 우선순위,구현 상태,근거,상업용 판정,비고
PRO-1,건물 관리,건물 정보 조회,"슈퍼관리자, 관리자",매우 높음,완성,listBuildings + buildings/page.tsx,수정,건물구분 목록을 상업용(오피스/상가/지식산업센터)으로 교체
PRO-2,건물 관리,건물 정보 등록,슈퍼관리자,매우 높음,부분,createBuilding 동작하나 addLog 버그로 항상 에러 반환,수정,버그 수정 필요 + 상업용 필드
PRO-3,건물 관리,건물 정보 조회(상세) 및 수정,"슈퍼관리자, 관리자",매우 높음,완성,"buildings/[id] 탭 구조 6,044줄",수정,가전·가구 탭 제거 또는 비품관리로 전환
PRO-4,건물 관리,유닛 정보 조회(상세) 및 수정,"슈퍼관리자, 관리자",매우 높음,완성,유닛 상세/수정 구현,수정,방/욕실/침실방향 → 전용면적·임대구획 등으로 교체
CTR-1,계약 관리,계약 정보 조회,"슈퍼관리자, 관리자",매우 높음,완성,listLeases + lease-table,수정,renewalNoticeFilter 미구현 상태
CTR-2,계약 관리,계약 정보 등록,"슈퍼관리자, 관리자",매우 높음,완성,"createLease 8,919줄 폼",수정,반려동물·외국인 섹션 제거 / 렌트프리·인상률 추가. 비밀번호 초기화 버그
CTR-3,계약 관리,계약 정보 조회(상세) 및 수정,"슈퍼관리자, 관리자",매우 높음,완성,leases/[id] 탭 구조,수정,
CTR-4,계약 관리,계약 연장(재계약),"슈퍼관리자, 관리자",높음,부분,isRenewal 분기·'재계약 하기' 버튼 존재. 실동작 미검증,수정,동작 여부 확인 필요
PAY-1,임대 관리,청구 내역 조회,"슈퍼관리자, 관리자",,부분,화면 있음. 청구서 생성 로직 부재로 항상 빈 목록,수정,청구 엔진 선행 필요
PAY-2,임대 관리,미납 내역 조회,"슈퍼관리자, 관리자",,부분,화면 있음. 데이터 없음,수정,동일
PAY-3,임대 관리,청구 스케줄 생성,"슈퍼관리자, 관리자",매우 높음,완성,addBillingSchedule / updateBillingSchedule,수정,면적 안분·실비정산 개념 추가 필요
PAY-3,임대 관리,청구 내역 수정 및 삭제,"슈퍼관리자, 관리자",,완성,addBillingSchedule / updateBillingSchedule,수정,면적 안분·실비정산 개념 추가 필요
PAY-4,임대 관리,수납 기록 생성,"슈퍼관리자, 관리자",,미구현,payment.create 호출 0곳. 결제 연동 라이브러리 없음,유지,청구 엔진과 함께 신규 구축 — 최대 작업
PAY-5,임대 관리,수납 처리 (자동),시스템,,미구현,payment.create 호출 0곳. 결제 연동 라이브러리 없음,유지,청구 엔진과 함께 신규 구축 — 최대 작업
PAY-6,임대 관리,수납 내역 조회,"슈퍼관리자, 관리자",,미구현,payment.create 호출 0곳. 결제 연동 라이브러리 없음,유지,청구 엔진과 함께 신규 구축 — 최대 작업
PAY-7,임대 관리,수납 내역 수정 및 삭제,"슈퍼관리자, 관리자",,미구현,payment.create 호출 0곳. 결제 연동 라이브러리 없음,유지,청구 엔진과 함께 신규 구축 — 최대 작업
REQ-1,요청 관리,요청 사항 조회,"슈퍼관리자, 관리자",,완성,listRequests + 화면,유지,
REQ-2,요청 관리,요청 등록 (관리자 전용),"슈퍼관리자, 관리자",,완성,createRequest,유지,
REQ-3,요청 관리,요청 상세 조회,"슈퍼관리자, 관리자",높음,완성,requests/[id]. 단 상태변경 TODO 남음,유지,
RES-1,예약 관리,공용 시설 조회,"슈퍼관리자, 관리자",낮음(2nd Phase),스키마없음,Reservation 테이블 자체가 없음,삭제/보류,상업용은 '회의실 예약'으로 재정의 가능
RES-2,예약 관리,공용 시설 상세 조회,"슈퍼관리자, 관리자",낮음(2nd Phase),스키마없음,동일,삭제/보류,
RES-4,예약 관리,예약 관리 조회,"슈퍼관리자, 관리자",낮음(2nd Phase),스키마없음,동일,삭제/보류,
RES-5,예약 관리,예약 설정,"슈퍼관리자, 관리자",낮음(2nd Phase),스키마없음,동일,삭제/보류,
REC-1,이력 관리,이력 목록 조회,"슈퍼관리자, 관리자",,부분,화면 있으나 JSON 이중인코딩 버그로 내용 깨짐,유지,버그 수정
REC-2,이력 관리,이력 상세 조회,"슈퍼관리자, 관리자",,미구현,상세 화면 없음,유지,
REP-1,리포트 관리,핵심 정보 요약,"슈퍼관리자, 관리자",,미구현,reports 페이지 = 빈 화면(3줄),유지,상업용 지표로 재정의
USER-1,사용자 및 계정 관리,프로필,"슈퍼관리자, 관리자",,완성,profile 619줄,유지,
USER-2,사용자 및 계정 관리,사용자 조회,슈퍼 관리자,,완성,listUsers + users/[slug],유지,
USER-3,사용자 및 계정 관리,사용자 등록,슈퍼 관리자,,완성,createUser,유지,
USER-4,사용자 및 계정 관리,사용자 역할 조회,슈퍼 관리자,,미구현,UserPermission을 읽는 코드 0줄,유지,권한 체계 재설계와 함께
USER-5,사용자 및 계정 관리,사용자 역할 등록,슈퍼 관리자,,부분,createUser에서 저장만 됨. 관리 화면 없음,유지,
USER-6,사용자 및 계정 관리,임차인 조회,"슈퍼관리자, 관리자",,완성,listTenants,수정,'임차인'→'임차사(법인)' 중심으로
USER-7,사용자 및 계정 관리,개별 임차인 조회,"슈퍼관리자, 관리자",,완성,tenants/[id],수정,
USER-8,사용자 및 계정 관리,임대인 조회,"슈퍼관리자, 관리자",,완성,listLandlords,유지,
USER-9,사용자 및 계정 관리,개별 임대인 조회,"슈퍼관리자, 관리자",,완성,landlords/[id],유지,
OWN-1,임대인 포털,건물 및 유닛 정보 조회,임대인,,미구현,임대인 포털 전 페이지가 빈 화면,보류,2차. 행 단위 스코핑 선행 필요
OWN-2,임대인 포털,위임 계약서 조회,임대인,,미구현,임대인 포털 전 페이지가 빈 화면,보류,2차. 행 단위 스코핑 선행 필요
OWN-3,임대인 포털,계약 정보 조회 (임대인 전용),임대인,,미구현,임대인 포털 전 페이지가 빈 화면,보류,2차. 행 단위 스코핑 선행 필요
